NOM,TYPE,GROUPE DE RESSOURCES,EMPLACEMENT,ABONNEMENT
"0485f560-69a2-4b3b-8ead-4a0bb844120a-dashboard","Tableau de bord partagé","ISWCUAT","West Europe","CISAC"
"093fe79ecf134d3fbf8c53f1e330fa21","Machine virtuelle","ISWCDatabricksDev","West Europe","CISAC"
"093fe79ecf134d3fbf8c53f1e330fa21-containerRootVolume","Disque","ISWCDATABRICKSDEV","West Europe","CISAC"
"093fe79ecf134d3fbf8c53f1e330fa21-osDisk","Disque","ISWCDATABRICKSDEV","West Europe","CISAC"
"093fe79ecf134d3fbf8c53f1e330fa21-privateNIC","Interface réseau","ISWCDatabricksDev","West Europe","CISAC"
"093fe79ecf134d3fbf8c53f1e330fa21-publicIP","Adresse IP publique","ISWCDatabricksDev","West Europe","CISAC"
"093fe79ecf134d3fbf8c53f1e330fa21-publicNIC","Interface réseau","ISWCDatabricksDev","West Europe","CISAC"
"146c6be7f20f43f095fefcd15b1eddf1","Machine virtuelle","ISWCDatabricksUAT","West Europe","CISAC"
"146c6be7f20f43f095fefcd15b1eddf1-containerRootVolume","Disque","ISWCDATABRICKSUAT","West Europe","CISAC"
"146c6be7f20f43f095fefcd15b1eddf1-osDisk","Disque","ISWCDATABRICKSUAT","West Europe","CISAC"
"146c6be7f20f43f095fefcd15b1eddf1-privateNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"146c6be7f20f43f095fefcd15b1eddf1-publicIP","Adresse IP publique","ISWCDatabricksUAT","West Europe","CISAC"
"146c6be7f20f43f095fefcd15b1eddf1-publicNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"1890bc7010d64e01b2ba442e89306150","Machine virtuelle","ISWCDatabricksUAT","West Europe","CISAC"
"1890bc7010d64e01b2ba442e89306150-containerRootVolume","Disque","ISWCDatabricksUAT","West Europe","CISAC"
"1890bc7010d64e01b2ba442e89306150-privateNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"1890bc7010d64e01b2ba442e89306150-publicIP","Adresse IP publique","ISWCDatabricksUAT","West Europe","CISAC"
"1890bc7010d64e01b2ba442e89306150-publicNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"202fcf371e214e0abf2face52263bc9b","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"202fcf371e214e0abf2face52263bc9b-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"202fcf371e214e0abf2face52263bc9b-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"202fcf371e214e0abf2face52263bc9b-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"202fcf371e214e0abf2face52263bc9b-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"202fcf371e214e0abf2face52263bc9b-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"4402143c5798468ea98f2c96cdc72909","Machine virtuelle","ISWCDatabricksUAT","West Europe","CISAC"
"4402143c5798468ea98f2c96cdc72909-containerRootVolume","Disque","ISWCDatabricksUAT","West Europe","CISAC"
"4402143c5798468ea98f2c96cdc72909-privateNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"4402143c5798468ea98f2c96cdc72909-publicIP","Adresse IP publique","ISWCDatabricksUAT","West Europe","CISAC"
"4402143c5798468ea98f2c96cdc72909-publicNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
